"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"EIF4A1","GABARAPL2",NA,NA,NA,"SRRM2","UCP2","MIDN"
"NLRP1","COX6A1",NA,NA,NA,"PTK2","MT-CYB","FAM171A1"
"TCF4","C19orf53",NA,NA,NA,"ANXA6","PEPD","EBF3"
"BCAT1","RNF7",NA,NA,NA,"TBC1D1","PPIF","NEURL1B"
"KDM6B","NDUFA13",NA,NA,NA,"COL14A1","PLTP","XAF1"
"PCF11","S100A13",NA,NA,NA,"INAFM1","HNMT","FLNB"
"SRSF11","BRK1",NA,NA,NA,"TACC1","GLIPR1","PPM1F"
"INTS3","HINT1",NA,NA,NA,"EIF4A1","NSMAF","HIP1R"
"POLR2A","SNRPD2",NA,NA,NA,"DLC1","CALHM6","RND1"
"TRIP10","ATP5PD",NA,NA,NA,"TSPYL2","PELI1","SCARF1"
"ITGA5","GABARAP",NA,NA,NA,"SIK1","TPT1","MEOX1"
"NFIX","TMBIM4",NA,NA,NA,"FUS","ENSG00000229124","ARHGAP29"
"HNRNPA2B1","BEX3",NA,NA,NA,"ARHGAP10","ZEB2","HEG1"
"TENT4A","PRDX5",NA,NA,NA,"TNS2","P2RX4","IFIT1"
"NFATC4","C8orf59",NA,NA,NA,"EPHX1","ACSL1","LRRC32"
"SMARCD2","CTSK",NA,NA,NA,"EPS8","STK17B","ENPP2"
"PRRC2B","CCN5",NA,NA,NA,"THBS1","CTSL","GRB10"
"TOB2","POMP",NA,NA,NA,"SRSF3","TPM3","CRIM1"
"WDR74","SELENOS",NA,NA,NA,"PLAC9","DRAM1","PTMA"
"PNPLA2","NDUFC1",NA,NA,NA,"ST5","SERPINB9","MT-ATP6"
"HLF","THBS4",NA,NA,NA,"LAMA4","PTK2B","ELK3"
"POGZ","HIST1H4C",NA,NA,NA,"HNRNPL","CYTH1","TAP2"
"BBC3","PRG4",NA,NA,NA,"TNFAIP3","MT-ND4","NEDD9"
"PER3",NA,NA,NA,NA,"KLF9","DUSP5","MYH9"
"FOXO3",NA,NA,NA,NA,"LIMS2","ASAH1","PRCP"
"TNRC6C",NA,NA,NA,NA,"POLG2","EIF4E","CARD8"
"OGT",NA,NA,NA,NA,"FLNC","ARID3A","ETS1"
"GPS1",NA,NA,NA,NA,"CBX6","MT-ATP6","SSH1"
